text,label
痒い所に手が届く,1
料理がとても美味しかったです,1
旅行先の景色が本当に美しかった,1
予定よりも早く仕事を終えられて嬉しい,1
予想を上回るクオリティでした,1
予想より良かったです,1
友達へのプレゼントにも喜ばれました,1
友達のサプライズに感激した,1
友達が引っ越しを手伝ってくれてとても助かった,1
友人にも紹介しました,1
友人にも勧めた,1
友人にもおすすめしたいと思います,1
友人からの励ましの言葉に元気をもらった,1
目標を達成できて嬉しい,1
毎日使っています,1
毎日使うのが楽しみになりました,1
毎日使うのが楽しみです,1
毎日楽しく使っています,1
毎日の生活に欠かせなくなりました,1
本当に便利で助かります,1
本当に買ってよかった一品です,1
本当に買ってよかったです,1
本当に素晴らしい出来栄えです,1
本当に助かりました,1
本当に感謝しています,1
本当にお勧めできる一品です,1
本当にありがとうございます,1
雰囲気が最高のレストランでした,1
分かり勝手が良い,1
品物の状態も完璧でした,1
品質の高さに正直驚きました,1
品質が良いです,1
品質が非常に高い,1
品質が非常に高い,1
非常に満足度の高い商品です,1
非常に満足しています,1
非常に丁寧な対応でした,1
非常に助かる,1
非常に使いやすく、友人にも自信を持っておすすめできます,1
非常に使いやすく、友人にも自信を持っておすすめできます,1
非常に効率が上がりました,1
非常に効率が上がり、心から感謝しています,1
非常に効率が上がり、心から感謝しています,1
非常に期待しています,1
非常に感動しました,1
非常にスムーズに動作します,1
非常にスムーズに動きます,1
非常にスムーズな動作で、ストレスなく使えています,1
非常にスムーズな動作で、ストレスなく使えています,1
非常にクオリティが高いです,1
彼の優しさにいつも助けられている,1
発送が早くて助かりました,1
発送が早くて助かりました,1
爆速です,1
買ってよかったです,1
買ってよかった,1
難しかった資格試験に合格できた,1
届くのが早くて驚きました,1
同僚からの一言がとても励みになった,1
努力が報われました,1
電車が時間通りに来て助かった,1
店員さんの対応が最高でした,1
庭の花が綺麗に咲いて気分が良くなった,1
直感的に操作できて便利です,1
長年使えそうな頑丈さがあります,1
長く使えそうで満足しています,1
長く使えそうです,1
長い努力が報われてとても嬉しい,1
長い間連絡が取れなかった友人と再会できた,1
朝の散歩は気持ちがすっきりする,1
朝の光がとても気持ちよかった,1
朝ごはんがとても美味しくて幸せな気分になった,1
丁寧に教えてもらえて理解できるようになった,1
